"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"1","Channing Frye",196,93,26,8,8,90,3,13,26,2.81658487735395,7807579,"C"
"2","Sasha Kaun",23,26,3,4,5,8,6,7,25,0.814241467412541,1300000,"C"
"3","Timofey Mozgov",475,337,33,22,57,156,27,71,76,2.91238034671978,4950000,"C"
"4","Bismack Biyombo",454,655,29,19,133,132,84,71,82,3.75882530125676,3000000,"C"
"5","Jason Thompson",87,80,10,8,12,34,4,8,19,2.4585199054757,328955,"C"
"6","Jonas Valanciunas",768,547,42,25,80,233,51,85,60,5.31272370985313,4660482,"C"
"7","Lucas Nogueira",65,46,7,12,12,16,7,11,29,1.4957824211482,1842000,"C"
"8","Amar'e Stoudemire",300,222,27,18,41,96,17,47,52,2.89615367471461,1499187,"C"
"9","Hassan Whiteside",1040,865,30,44,269,269,115,137,73,7.51671613225788,981348,"C"
"10","Al Horford",1249,596,263,68,121,519,26,107,82,6.83864108079412,12000000,"C"
"11","Mike Muscala",195,117,34,13,27,76,8,27,60,1.68461919588479,947276,"C"
"12","Tiago Splitter",201,120,30,20,12,74,9,24,36,2.73307620008483,8500000,"C"
"13","Walter Tavares",25,21,3,1,6,8,5,5,11,1.43610975880713,1000000,"C"
"14","Kelly Olynyk",687,281,105,52,33,303,32,74,69,4.42088675163974,2165160,"C"
"15","Tyler Zeller",364,178,29,10,22,152,20,46,60,2.39542599194177,2616975,"C"
"16","Al Jefferson",562,301,70,30,41,260,39,34,47,5.06094172920063,13833333,"C"
"17","Cody Zeller",638,455,71,57,63,206,57,68,73,4.36544917339159,4204200,"C"
"18","Frank Kaminsky",606,335,98,38,43,310,40,58,81,3.55710897331113,2612500,"C"
"19","Ian Mahinmi",660,507,104,65,75,184,93,100,71,5.3565407242532,4000000,"C"
"20","Jordan Hill",645,451,87,36,37,271,36,92,73,4.225962190465,4000000,"C"
"21","Myles Turner",619,332,41,25,86,266,33,67,60,4.53020385281524,2357760,"C"
"22","Andre Drummond",1314,1198,67,119,112,508,378,155,81,9.4858675009952,3272091,"C"
"23","Aron Baynes",514,384,51,21,52,190,39,67,81,2.9755232553211,6500000,"C"
"24","Joel Anthony",18,21,1,2,12,4,2,2,19,0.789771180493109,2500000,"C"
"25","Cameron Bairstow",34,28,6,2,3,27,1,4,18,1.07585407311665,845059,"C"
"26","Cristiano Felicio",105,102,26,6,13,32,10,13,31,1.92564072547077,525090,"C"
"27","Joakim Noah",124,255,110,18,29,82,23,52,29,5.74895805152567,13400000,"C"
"28","Pau Gasol",1187,793,294,42,146,528,60,164,72,8.67360142266874,7448760,"C"
"29","J.J. Hickson",69,45,7,5,2,21,25,9,15,2.49626833919747,366337,"C"
"30","Marcin Gortat",1012,741,106,47,96,331,61,121,75,6.10082252857646,11217391,"C"
"31","Ryan Hollins",8,11,0,0,1,3,0,3,5,0.962221098117651,176375,"C"
