"","Roster Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Salary Rank","Salary","Total Rank","Age","Games","Games Started","Minutes Played","Field Goals","Field Goal Attempts","Field Goal Percentage","Three-Point Field Goals","Three-Point Field Goal Attempts","Three-Point Field Goal Percentage","Two-Point Field Goals","Two-Point Field Goal Attempts","Two-Point Field Goal Percentage","Effective Field Goal Percentage","Free Throws","Free Throw Attempts","Free Throw Percentage","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Team"
"1",9,"Channing Frye","C",83,255,"May 17, 1983","us","9","University of Arizona",6,7807579,12,32,26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196,"CLE"
"2",30,"Dahntay Jones","SF",78,225,"December 27, 1980","us","11","Duke University",15,8819,17,35,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,NA,1,4,5,2,1,2,0,6,13,"CLE"
"3",4,"Iman Shumpert","SG",77,220,"June 26, 1990","us","4","Georgia Institute of Technology",5,9000000,9,25,54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311,"CLE"
"4",5,"J.R. Smith","SG",78,225,"September 9, 1985","us","11","",7,5000000,3,30,77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955,"CLE"
"5",1,"James Jones","SF",80,218,"October 4, 1980","us","12","University of Miami",10,1499000,11,35,48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178,"CLE"
"6",12,"Jordan McRae","PG",78,185,"March 28, 1991","us","R","University of Tennessee",14,172972,15,24,15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62,"CLE"
"7",0,"Kevin Love","PF",82,251,"September 7, 1988","us","7","University of California, Los Angeles",2,19500000,2,27,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234,"CLE"
"8",2,"Kyrie Irving","PG",75,193,"March 23, 1992","au","4","Duke University",3,14746000,6,23,53,53,1667,394,879,0.448,84,262,0.321,310,617,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,"CLE"
"9",23,"LeBron James","SF",80,250,"December 30, 1984","us","12","",1,22971000,1,31,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,"CLE"
"10",8,"Matthew Dellavedova","PG",76,198,"September 8, 1990","au","2","Saint Mary's College of California",13,1147280,5,25,76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569,"CLE"
"11",52,"Mo Williams","PG",73,198,"December 19, 1982","us","12","University of Alabama",9,2100000,10,33,41,14,748,132,302,0.437,36,102,0.353,96,200,0.48,0.497,38,42,0.905,6,66,72,98,14,5,57,60,338,"CLE"
"12",24,"Richard Jefferson","SF",79,233,"June 21, 1980","us","14","University of Arizona",11,1499000,8,35,74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410,"CLE"
