"","total_payroll","minimum_salary","maximum_salary","first_quartile_salary","median_salary","third_quartile_salary","average_salary","interquartile_range","standard_deviation"
"CLE",105962520,8819,22971000,1399500,4950000,11630435,7064168,10230935,7481394.86373996
"TOR",71784665,328955,13500000,1520340,3000000,6451506.25,4486541.5625,4931166.25,4088631.16882248
"MIA",85808715,12355,22192730,913203.5,2170465,7847668.5,5720581,6934465,7459939.41098273
"ATL",71378126,388025,19000000,1152260,2870000,6873239.5,4758541.73333333,5720979.5,5217410.47043492
"BOS",73029447,61776,15493680,1805730,3021242.5,6228217.25,4564340.4375,4422487.25,4231739.75681609
"CHO",77529865,301444,13833333,1642892,4204200,6665702,5168657.66666667,5022810,4449416.60857836
"IND",69686088,265058,17120106,1179440,4000000,5750000,4645739.2,4570560,4484878.12077156
"DET",67168286,99418,16000000,1711452.5,2891760,5635000,4477885.73333333,3923547.5,4686346.7192344
"CHI",85385898,525090,20093063,1203290.5,2380440,7974380,5692393.2,6771089.5,6127832.50783157
"WAS",78623817,176375,15851950,1100602,3300000,5694674,4624930.41176471,4594072,4744555.83082773
"ORL",60323249,161776,11250000,1791322.5,3741480,5096260,4021549.93333333,3304937.5,3143689.50774644
"MIL",69128026,57726,16400000,1460520,2254167,5514330,4320501.625,4053810,4956302.77039103
"NYK",74943775,59731,22875000,1228374.25,2225000,5525703,4683985.9375,4297328.75,5967773.17427175
"BRK",53635242,161622,20000000,972794,1349190,2056257.5,3352202.625,1083463.5,5245969.54161578
"PHI",33163582,172739,6500000,856467.5,1025000,2644838.5,1842421.22222222,1788371,1667303.06980978
"GSW",87275947,458575,15500000,1201462,3815000,11540621,5818396.46666667,10339159,5494525.29667133
"SAS",86857388,317475,19500000,1142879,1499187,7000000,5109258.11764706,5857121,6097830.94585461
"OKC",94622660,352750,20158622,1742280,3344000,8744215,6308177.33333333,7001935,6616957.25356614
"LAC",94635714,61776,21468696,1070787,2185482,7450250,5914732.125,6379463,7442264.24206763
"POR",48507180,525093,7500000,921721.75,2746330,4427215.25,3031698.75,3505493.5,2322363.58697813
"DAL",69488052,525093,16400000,1315473,3975156.5,5425000,4963432.28571429,4109527,5136343.82925421
"MEM",82270979,55722,19700000,837914.75,2473550,5251404.25,4113548.95,4413489.5,4879051.49868569
"HOU",76597917,83583,22359364,1182040,1967302.5,6923257.5,4787369.8125,5741217.5,6274579.22359665
"UTA",59933888,99418,15409570,981348,2239800,3000000,3525522.82352941,2018652,4433752.61803637
"SAC",70847101,525093,14728844,998384.5,3156600,6916666.5,4723140.06666667,5918282,4508271.40189204
"DEN",50397467,123552,14000000,1521260.25,2328000,3275559.75,3599819.07142857,1754299.5,4034848.63691597
"NOP",79884096,44000,15514031,1100000,3000000,8500000,4699064.47058824,7400000,4939489.15765052
"MIN",60224230,247623,12365000,1480626.75,2102640,5744910,4301730.71428571,4264283.25,4059477.57144544
"PHO",62385522,111444,13086957,1008000,2041080,5500000,4159034.8,4492000,4738316.29834762
"LAL",72230125,525093,25000000,913203.5,1724250,5161144.5,4815341.66666667,4247941,6804634.88454589
